Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest,Date
FUT2,44929.0,95.275,95.4,92.925,93.775,12549.0,48722.0,2023-01-03
FUT6,44929.0,108.475,108.6,106.9,108.025,1927.0,1391171.969935969,2023-01-03
FUT8,44929.0,84.525,84.875,83.85,84.775,238.0,4002.0,2023-01-03
FUT9,44929.0,87.3,87.75,87.125,87.75,64.0,1431.0,2023-01-03
FUT1,44930.0,84.875,86.025,83.475,83.5,25940.0,67989.0,2023-01-04
FUT2,44930.0,93.65,95.025,92.5,92.525,12313.0,49805.0,2023-01-04
FUT4,44930.0,107.875,108.725,106.85,106.875,460247.9924731629,27546.0,2023-01-04
FUT5,44930.0,109.325,7190.966862764586,107.825,107.85,1383.0,11187.0,2023-01-04
FUT6,44930.0,107.95,108.45,107.225,107.45,0.0,0.0,2023-01-04
FUT7,44930.0,92.975,93.35,92.2,92.35,1267.0,11524.0,2023-01-04
FUT8,44930.0,84.85,84.95,83.725,83.75,788.0,4260.0,2023-01-04
FUT9,44930.0,87.75,87.775,87.0,87.0,67.0,1472.0,2023-01-04
FUT1,44931.0,83.55,83.975,81.6,82.675,29058.0,62660.0,2023-01-05
FUT10,44931.0,90.05,90.05,90.05,90.05,1731.290576069846,186.0,2023-01-05
FUT3,44931.0,98.525,98.525,97.425,97.825,147.0,1117.0,2023-01-05
FUT5,44931.0,107.775,108.125,106.675,107.275,1722.0,11419.0,2023-01-05
FUT6,44931.0,107.3,107.35,106.175,106.8,2221.0,15268.0,2023-01-05
FUT7,44931.0,92.2,92.525,91.6,92.225,1335.0,11804.0,2023-01-05
FUT8,44931.0,84.0,84.15,83.475,83.775,650.0,4371.0,2023-01-05
FUT9,44931.0,86.925,86.95,86.5,86.7,154.0,1487.0,2023-01-05
FUT4,44932.0,106.175,106.2,104.575,104.8,5439.0,27138.0,2023-01-06
FUT7,44932.0,92.175,92.175,91.1,91.4,1461.0,12207.0,2023-01-06
FUT8,44932.0,83.725,83.925,82.525,82.875,83225.09930347219,4668.0,2023-01-06
FUT1,44935.0,80.35,81.625,79.7,81.0,31593.0,59692.0,2023-01-09
FUT3,44935.0,96.575,97.975,96.575,97.6,99.0,1104.0,2023-01-09
FUT5,44935.0,106.0,108.25,106.0,107.9,3189.0,11666.0,2023-01-09
FUT7,44935.0,91.1,93.125,91.1,93.075,1857.0,12649.0,2023-01-09
FUT8,44935.0,82.625,84.2,82.625,84.0,700.0,4926.0,2023-01-09
FUT10,44936.0,89.95,90.05,89.9,89.9,46.0,225.0,2023-01-10
FUT2,44936.0,90.825,90.85,89.375,89.575,18621.0,58280.0,2023-01-10
FUT3,44936.0,97.35,97.35,96.1,96.55,70.0,1101.0,2023-01-10
FUT4,44936.0,106.65,106.65,105.125,105.25,0.0,0.0,2023-01-10
FUT5,44936.0,107.6,107.875,106.625,106.775,2489.0,11796.0,2023-01-10
FUT7,44936.0,93.025,93.175,91.925,92.6,34742.96505851246,12990.0,2023-01-10
FUT8,44936.0,84.025,84.15,83.1,83.925,587.0,5037.0,2023-01-10
FUT9,44936.0,86.9,86.9,86.15,86.725,221.0,1816.0,2023-01-10
FUT1,44937.0,79.8,80.15,78.825,79.225,25405.0,48890.0,2023-01-11
FUT10,44937.0,89.9,89.9,89.5,89.6,105.0,278.0,2023-01-11
FUT2,44937.0,89.55,89.575,88.025,88.35,18388.0,62420.0,2023-01-11
FUT3,44937.0,96.225,96.225,95.225,95.825,62.0,1090.0,2023-01-11
FUT5,44937.0,107.0,107.0,105.5,105.85,0.0,-0.0,2023-01-11
FUT6,44937.0,106.5,106.5,105.2,105.525,4282.0,18266.0,2023-01-11
FUT9,44937.0,86.775,86.775,85.875,85.875,0.0,0.0,2023-01-11
FUT10,44938.0,89.6,89.6,89.275,89.275,0.0,0.0,2023-01-12
FUT4,44938.0,104.25,104.75,103.225,103.975,9230.0,1583773.2293856584,2023-01-12
FUT6,44938.0,105.525,106.1,104.825,105.95,4663.0,19029.0,2023-01-12
FUT7,44938.0,91.825,92.45,91.35,92.4,2827.0,14209.0,2023-01-12
FUT8,44938.0,83.5,84.25,83.15,84.175,759.0,5378.0,2023-01-12
FUT1,44939.0,78.55,79.4,77.675,78.525,24375.0,39402.0,2023-01-13
FUT10,44939.0,90.05,90.05,90.05,90.05,1248.5495378448188,296.0,2023-01-13
FUT2,44939.0,87.25,87.875,85.95,87.475,21961.0,75232.0,2023-01-13
FUT3,44939.0,95.25,95.65,94.0,95.325,227.0,1155.0,2023-01-13
FUT4,44939.0,103.95,104.55,102.8,104.15,7932.0,30142.0,2023-01-13
FUT7,44939.0,92.375,92.425,91.45,92.3,1976.0,14463.0,2023-01-13
FUT9,44939.0,86.825,87.5,86.725,87.5,122.0,1800.0,2023-01-13
FUT7,44943.0,92.475,92.925,92.35,92.5,1829.0,14784.0,2023-01-17
FUT8,44943.0,84.45,84.975,84.4,84.825,778.0,5591.0,2023-01-17
FUT4,44944.0,105.125,105.15,102.925,103.4,499548.1145233531,31836.0,2023-01-18
FUT7,44944.0,92.125,92.325,90.75,90.875,1498.0,14600.0,2023-01-18
FUT1,44945.0,77.175,77.65,76.4,76.6,15369.0,32492.0,2023-01-19
FUT3,44945.0,94.075,94.55,92.6,92.75,174.0,1052.0,2023-01-19
