Symbol,Date,Timestamp,sentinel_values,negative_values,ohlc_violation,high_lt_low,open_outside_range,close_outside_range,has_missing_data,is_duplicate,stale_prices,volume_price_anomaly,statistical_outliers,volume_jump_outliers,has_any_issue
FUT1,2023-01-03,44929.0,False,False,True,False,False,True,False,False,False,False,False,False,True
FUT2,2023-01-03,44929.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT3,2023-01-03,44929.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT4,2023-01-03,44929.0,True,False,True,True,True,True,False,False,False,False,False,False,True
FUT5,2023-01-03,44929.0,True,False,True,False,True,False,False,False,False,False,False,False,True
FUT6,2023-01-03,44929.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT7,2023-01-03,44929.0,False,False,True,True,True,True,False,False,False,False,False,False,True
FUT8,2023-01-03,44929.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT9,2023-01-03,44929.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT1,2023-01-04,44930.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT2,2023-01-04,44930.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT3,2023-01-04,44930.0,True,False,False,False,False,False,False,False,False,False,False,False,True
FUT4,2023-01-04,44930.0,False,False,False,False,False,False,False,False,False,False,False,True,True
FUT5,2023-01-04,44930.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT6,2023-01-04,44930.0,False,False,False,False,False,False,False,False,False,True,False,False,True
FUT7,2023-01-04,44930.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT8,2023-01-04,44930.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT9,2023-01-04,44930.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT1,2023-01-05,44931.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT10,2023-01-05,44931.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT2,2023-01-05,44931.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT3,2023-01-05,44931.0,False,False,False,False,False,False,False,False,False,False,False,True,True
FUT4,2023-01-05,44931.0,False,False,True,False,True,False,False,False,False,False,False,False,True
FUT5,2023-01-05,44931.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT6,2023-01-05,44931.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT7,2023-01-05,44931.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT8,2023-01-05,44931.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT9,2023-01-05,44931.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT1,2023-01-06,44932.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT10,2023-01-06,44932.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT2,2023-01-06,44932.0,True,True,False,False,False,False,False,False,False,False,False,False,True
FUT3,2023-01-06,44932.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT4,2023-01-06,44932.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT5,2023-01-06,44932.0,True,False,True,False,False,True,False,False,False,False,True,True,True
FUT6,2023-01-06,44932.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT7,2023-01-06,44932.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT8,2023-01-06,44932.0,False,False,False,False,False,False,False,False,False,False,False,True,True
FUT9,2023-01-06,44932.0,False,False,True,True,True,True,False,False,False,False,False,False,True
FUT1,2023-01-09,44935.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT2,2023-01-09,44935.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT3,2023-01-09,44935.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT4,2023-01-09,44935.0,True,True,False,False,False,False,False,False,False,False,True,False,True
FUT5,2023-01-09,44935.0,False,False,False,False,False,False,False,False,False,False,True,False,True
FUT6,2023-01-09,44935.0,False,False,True,False,True,True,False,False,False,False,False,False,True
FUT7,2023-01-09,44935.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT8,2023-01-09,44935.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT9,2023-01-09,44935.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT1,2023-01-10,44936.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT10,2023-01-10,44936.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT2,2023-01-10,44936.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT3,2023-01-10,44936.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT4,2023-01-10,44936.0,False,False,False,False,False,False,False,False,False,True,True,False,True
FUT5,2023-01-10,44936.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT6,2023-01-10,44936.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT7,2023-01-10,44936.0,False,False,False,False,False,False,False,False,False,False,False,True,True
FUT8,2023-01-10,44936.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT9,2023-01-10,44936.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT1,2023-01-11,44937.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT10,2023-01-11,44937.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT2,2023-01-11,44937.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT3,2023-01-11,44937.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT4,2023-01-11,44937.0,True,False,False,False,False,False,False,False,False,False,False,False,True
FUT5,2023-01-11,44937.0,False,False,False,False,False,False,False,False,False,True,False,False,True
FUT6,2023-01-11,44937.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT7,2023-01-11,44937.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT8,2023-01-11,44937.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT9,2023-01-11,44937.0,False,False,False,False,False,False,False,False,False,True,False,False,True
FUT1,2023-01-12,44938.0,False,False,True,True,True,True,False,False,False,False,False,False,True
FUT10,2023-01-12,44938.0,False,False,False,False,False,False,False,False,False,True,False,False,True
FUT2,2023-01-12,44938.0,True,False,True,True,True,True,False,False,False,False,False,False,True
FUT3,2023-01-12,44938.0,True,False,False,False,False,False,False,False,False,False,False,False,True
FUT4,2023-01-12,44938.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT5,2023-01-12,44938.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT6,2023-01-12,44938.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT7,2023-01-12,44938.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT8,2023-01-12,44938.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT9,2023-01-12,44938.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT1,2023-01-13,44939.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT10,2023-01-13,44939.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT2,2023-01-13,44939.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT3,2023-01-13,44939.0,False,False,False,False,False,False,False,False,False,False,False,True,True
FUT4,2023-01-13,44939.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT5,2023-01-13,44939.0,False,False,True,False,False,True,False,False,False,False,True,False,True
FUT6,2023-01-13,44939.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT7,2023-01-13,44939.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT8,2023-01-13,44939.0,False,False,True,False,False,True,False,False,False,False,True,False,True
FUT9,2023-01-13,44939.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT1,2023-01-17,44943.0,True,True,False,False,False,False,False,False,False,False,False,False,True
FUT10,2023-01-17,44943.0,True,False,True,False,False,True,False,False,False,False,True,True,True
FUT2,2023-01-17,44943.0,True,False,True,False,False,True,False,False,False,False,True,False,True
FUT3,2023-01-17,44943.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT4,2023-01-17,44943.0,True,False,False,False,False,False,False,False,False,False,False,False,True
FUT5,2023-01-17,44943.0,False,True,False,False,False,False,False,False,False,False,True,False,True
FUT6,2023-01-17,44943.0,True,False,True,False,False,True,False,False,False,False,True,False,True
FUT7,2023-01-17,44943.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT8,2023-01-17,44943.0,False,False,False,False,False,False,False,False,False,False,True,False,True
FUT9,2023-01-17,44943.0,True,False,True,True,True,True,False,False,False,False,False,False,True
FUT1,2023-01-18,44944.0,False,False,True,False,False,True,False,False,False,True,True,False,True
FUT10,2023-01-18,44944.0,True,False,False,False,False,False,False,False,False,False,True,False,True
FUT2,2023-01-18,44944.0,False,True,False,False,False,False,False,False,False,False,True,False,True
FUT3,2023-01-18,44944.0,False,False,True,False,False,True,False,False,False,False,False,False,True
FUT4,2023-01-18,44944.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT5,2023-01-18,44944.0,False,False,True,False,False,True,False,False,False,False,False,False,True
FUT6,2023-01-18,44944.0,False,True,False,False,False,False,False,False,False,False,True,False,True
FUT7,2023-01-18,44944.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT8,2023-01-18,44944.0,False,False,True,False,False,True,False,False,False,False,False,False,True
FUT9,2023-01-18,44944.0,True,False,True,True,True,True,False,False,False,False,False,False,True
FUT1,2023-01-19,44945.0,False,False,False,False,False,False,False,False,False,False,True,False,True
FUT10,2023-01-19,44945.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT2,2023-01-19,44945.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT3,2023-01-19,44945.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT4,2023-01-19,44945.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT5,2023-01-19,44945.0,True,False,True,False,False,True,False,False,False,False,True,False,True
FUT6,2023-01-19,44945.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT7,2023-01-19,44945.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT8,2023-01-19,44945.0,True,True,False,False,False,False,False,False,False,False,False,False,True
FUT9,2023-01-19,44945.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT1,2023-01-20,44946.0,False,False,False,False,False,False,False,False,False,False,False,False,False
FUT10,2023-01-20,44946.0,False,True,False,False,False,False,False,False,False,False,False,False,True
FUT2,2023-01-20,44946.0,False,True,False,False,False,False,False,False,False,False,False,False,True
