index,symbol,date,field,method,repaired_value,confidence,note
47,FUT1,2023-01-10 00:00:00,OHLC_all,last_traded_settlement,81.0,high,Futures settlement price (no trading)
67,FUT1,2023-01-12 00:00:00,OHLC_all,last_traded_settlement,79.225,high,Futures settlement price (no trading)
197,FUT1,2023-02-01 00:00:00,OHLC_all,last_traded_settlement,74.8,high,Futures settlement price (no trading)
257,FUT1,2023-02-09 00:00:00,OHLC_all,last_traded_settlement,76.125,high,Futures settlement price (no trading)
297,FUT1,2023-02-15 00:00:00,OHLC_all,last_traded_settlement,75.675,high,Futures settlement price (no trading)
341,FUT1,2023-02-23 00:00:00,OHLC_all,last_traded_settlement,86.575,high,Futures settlement price (no trading)
420,FUT1,2023-03-07 00:00:00,OHLC_all,last_traded_settlement,83.45,high,Futures settlement price (no trading)
442,FUT1,2023-03-09 00:00:00,OHLC_all,last_traded_settlement,85.675,high,Futures settlement price (no trading)
497,FUT1,2023-03-16 00:00:00,OHLC_all,last_traded_settlement,83.775,high,Futures settlement price (no trading)
530,FUT1,2023-03-21 00:00:00,OHLC_all,last_traded_settlement,77.575,high,Futures settlement price (no trading)
618,FUT1,2023-03-31 00:00:00,OHLC_all,last_traded_settlement,76.375,high,Futures settlement price (no trading)
651,FUT1,2023-04-05 00:00:00,OHLC_all,last_traded_settlement,72.25,high,Futures settlement price (no trading)
706,FUT1,2023-04-13 00:00:00,OHLC_all,last_traded_settlement,72.35,high,Futures settlement price (no trading)
808,FUT1,2023-04-27 00:00:00,OHLC_all,last_traded_settlement,78.4,high,Futures settlement price (no trading)
838,FUT1,2023-05-02 00:00:00,OHLC_all,last_traded_settlement,79.35,high,Futures settlement price (no trading)
953,FUT1,2023-05-17 00:00:00,OHLC_all,last_traded_settlement,87.225,high,Futures settlement price (no trading)
1072,FUT1,2023-06-01 00:00:00,OHLC_all,last_traded_settlement,82.825,high,Futures settlement price (no trading)
1131,FUT1,2023-06-08 00:00:00,OHLC_all,last_traded_settlement,87.8,high,Futures settlement price (no trading)
1179,FUT1,2023-06-14 00:00:00,OHLC_all,last_traded_settlement,87.125,high,Futures settlement price (no trading)
1226,FUT1,2023-06-21 00:00:00,OHLC_all,last_traded_settlement,95.55,high,Futures settlement price (no trading)
